sku,name,category
SKU-1001,Wireless Mouse,Peripherals
SKU-1002,Mechanical Keyboard,Peripherals
SKU-1003,USB-C Hub,Accessories
SKU-1004,27in Monitor,Displays
SKU-1005,Webcam HD,Peripherals
SKU-1006,Laptop Stand,Accessories
SKU-1007,Noise Cancelling Headphones,Audio
SKU-1008,Bluetooth Speaker,Audio
SKU-1009,Ergonomic Chair,Furniture
SKU-1010,Standing Desk,Furniture
SKU-1011,Desk Lamp,Furniture
SKU-1012,Portable SSD 1TB,Storage
SKU-1013,External HDD 4TB,Storage
SKU-1014,Wireless Charger,Accessories
SKU-1015,Cable Organizer,Accessories
SKU-1016,4K Monitor,Displays
SKU-1017,Gaming Mouse,Peripherals
SKU-1018,Mousepad XL,Accessories
SKU-1019,USB Microphone,Audio
SKU-1020,Ring Light,Accessories
